id,text,primary_emotion,secondary_emotion,teccr_context
1,இன்று மனசே சோர்ந்து போச்சு,Sadness,Despair,Emotional exhaustion
2,எல்லாம் சரியாகும் என்று நம்பிக்கையே இல்ல,Sadness,Despair,Implicit cultural despair
3,யாரிடமும் சொல்ல முடியாத வலி,Sadness,Frustration,Suppressed frustration
4,மௌனம்தான் இப்போ என் துணை,Sadness,None,Silent emotional state
5,நாளும் ஒரே மாதிரி சலிப்பு,Sadness,Frustration,Daily life fatigue
6,சிரிக்க முயற்சி தான் செய்றேன்,Sadness,Hope,Hidden emotional hope
7,எதிர்பார்ப்பு தான் அதிகமா போச்சு,Sadness,Despair,Expectation collapse
8,மனசுக்குள்ள ஏதோ குறை,Sadness,None,Inner emotional void
9,நம்பினது எல்லாம் வீணா,Sadness,Despair,Broken trust feeling
10,தனிமை கொஞ்சம் அதிகமா இருக்கு,Sadness,None,Emotional loneliness
11,கண்ணு தானா கலங்குது,Sadness,Despair,Overwhelming sadness
12,இப்படி தான் வாழ்க்கை போகுமா,Sadness,Frustration,Existential frustration
13,சொல்ல வார்த்தை கூட இல்ல,Sadness,Despair,Emotional numbness
14,எல்லாம் சுமையா தோணுது,Sadness,Frustration,Mental overload
15,மனசு ஓய்வு கேக்குது,Sadness,Hope,Need for healing
16,யாருக்கும் புரியாத நிலை,Sadness,None,Social disconnect
17,இன்னும் தாங்க முடியல,Sadness,Despair,Emotional breakdown
18,கஷ்டம் பழகிடுச்சு,Sadness,None,Cultural endurance
19,நினைவுகள் தூங்க விடல,Sadness,Frustration,Past emotional weight
20,எதிர்காலம் மங்கலா இருக்கு,Sadness,Despair,Future uncertainty
21,என்ன செய்யணும்னு தெரியல,Sadness,Frustration,Decision paralysis
22,மனசு மெதுவா உடையுது,Sadness,Despair,Internal collapse
23,நம்பிக்கை குறைஞ்சு போச்சு,Sadness,Despair,Hope depletion
24,அமைதி கூட வலி தருது,Sadness,None,Painful silence
25,வாழ்க்கை ரொம்ப கஷ்டமா இருக்கு,Sadness,Despair,Cultural hardship
26,ஒரு சிரிப்பும் வரல,Sadness,None,Emotional flatness
27,யாரையும் நம்ப முடியல,Sadness,Frustration,Trust issues
28,தோல்வி தான் அடிக்கடி,Sadness,Despair,Repeated failure
29,மனசு எங்கோ போயிருக்கு,Sadness,None,Mental detachment
30,எல்லாம் முடிஞ்ச மாதிரி,Sadness,Despair,Emotional surrender
31,இன்னைக்கு கொஞ்சம் சந்தோஷம்,Joy,Hope,Small positive moment
32,சிரிப்பு தானா வந்தது,Joy,None,Natural happiness
33,மனசு லைட்டா இருக்கு,Joy,None,Emotional relief
34,நல்ல செய்தி கேட்டேன்,Joy,Hope,Positive expectation
35,இப்படி ஒரு நாள் வேணும்,Joy,Hope,Desired happiness
36,சின்ன விஷயமே பெரிய சந்தோஷம்,Joy,None,Simple joy
37,மனசு நிறைஞ்ச மாதிரி,Joy,None,Emotional fulfillment
38,இன்று எல்லாம் சரியா போச்சு,Joy,None,Good day feeling
39,சிரிக்க காரணம் கிடைச்சுது,Joy,None,Reason for joy
40,நம்பிக்கை திரும்ப வந்துச்சு,Joy,Hope,Renewed optimism
41,மனசுக்குள்ள சந்தோஷம்,Joy,None,Inner happiness
42,இந்த உணர்வு நல்லா இருக்கு,Joy,None,Pleasant emotion
43,நாளே நல்லா ஆரம்பிச்சுது,Joy,Hope,Positive start
44,சுற்றமும் இனிமையா இருக்கு,Joy,None,Social warmth
45,மனசு குளிர்ந்தது,Joy,None,Emotional calm
46,இன்னும் நல்லா நடக்கும்,Joy,Hope,Forward optimism
47,சிரிச்சுக்கிட்டே இருக்கேன்,Joy,None,Expressed happiness
48,இந்த நிமிஷம் போதும்,Joy,None,Present contentment
49,சந்தோஷம் சொல்ல வார்த்தை இல்ல,Joy,None,Overwhelming joy
50,மனசு லேசா பறக்குது,Joy,None,Lighthearted feeling
51,இதுதான் வாழ்க்கை போல,Joy,None,Life appreciation
52,நல்ல நாள் நினைவில் நிற்கும்,Joy,None,Memorable happiness
53,நம்பிக்கை கண்ணுல தெரியும்,Joy,Hope,Visible optimism
54,இப்படி தொடரணும்,Joy,Hope,Wish for continuity
